"passenger_count","trip_distance","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
1,15.2,1,52,0,0.5,17.5,5.54,0.3,75.84
1,20.68,1,52,0,0.5,13,5.54,0.3,71.34
1,3.8,1,15,0.5,0.5,4.36,5.54,0.3,26.2
2,4.04,1,45,0,0.5,11.26,10.5,0.3,67.56
1,12.4,1,38.5,0.5,0.5,5,5.54,0.3,50.34
2,7.6,1,22,0.5,0.5,5.77,5.54,0.3,34.61
1,17.97,1,52,0,0.5,11.67,5.54,0.3,70.01
2,20.8,1,52,0,0.5,3,5.54,0.3,61.34
1,10.24,1,37,0.5,0.5,13.15,5.54,0.3,56.99
1,11.95,1,35.5,0.5,0.5,8.47,5.54,0.3,50.81
1,9.1,1,27.5,0.5,0.5,6.85,5.5,0.3,41.15
1,7.41,1,24,0.5,0.5,7.71,5.54,0.3,38.55
3,10,1,29.5,0.5,0.5,7.25,5.54,0.3,43.59
1,15.2,1,52,0,0.5,0.05,5.54,0.3,58.39
2,4.8,1,18.5,0.5,0.5,5.05,5.54,0.3,30.39
1,16.79,1,52,0,0.5,11.67,5.54,0.3,70.01
2,9.8,1,28,0.5,0.5,6.95,5.54,0.3,41.79
2,20.4,1,56,0.5,0.5,17.09,11.08,0.3,85.47
3,6.67,1,20.5,0.5,0.5,5.47,5.54,0.3,32.81
1,0.2,1,9.5,0.5,0.5,3.25,5.54,0.3,19.59
2,18.2,1,52,0,0.5,11.65,5.54,0.3,69.99
2,16.44,1,45.5,0.5,0.5,15.7,5.54,0.3,68.04
1,17.71,1,52,0,0.5,14.58,5.54,0.3,72.92
1,18.02,1,52,0,0.5,11.67,5.54,0.3,70.01
1,15.96,1,52,0,0.5,8,5.54,0.3,66.34
1,11.31,1,32,0.5,0.5,7.77,5.54,0.3,46.61
1,8.79,1,24.5,0.5,0.5,6.27,5.54,0.3,37.61
1,10.63,1,30.5,0.5,0.5,7.47,5.54,0.3,44.81
1,10.2,1,29,0.5,0.5,7.16,5.54,0.3,43
2,18.6,1,52,0,0.5,11.65,5.54,0.3,69.99
1,16.95,1,52,0,0.5,6.08,5.54,0.3,64.42
1,16.95,1,52,0,0.5,8,5.54,0.3,66.34
1,19.7,1,52,0,0.5,11.67,5.54,0.3,70.01
2,17,1,52,0,0.5,14.55,5.54,0.3,72.89
1,8.5,1,29.5,0.5,0.5,4,15.13,0.3,49.93
2,8.6,1,24,0,0.5,7.55,5.54,0.3,37.89
2,20.21,1,52,0,0.5,10,5.54,0.3,68.34
1,15.72,1,52,0,0.5,11.67,5.54,0.3,70.01
1,18.49,1,52,0,0.5,11.67,5.54,0.3,70.01
2,9.13,1,26,0,0.5,3.5,5.54,0.3,35.84
1,15.68,1,52,0,0.5,11.67,5.54,0.3,70.01
1,11.5,1,33.5,0,0.5,7,5.54,0.3,46.84
1,18.24,1,52,0,0.5,11.67,5.54,0.3,70.01
1,17,1,52,0,0.5,11.67,5.54,0.3,70.01
1,10.52,1,29.5,0,0.5,7.17,5.54,0.3,43.01
2,19.8,1,29.5,0,0.5,7.16,5.54,0.3,43
1,9.7,1,28.5,0,0.5,5,5.54,0.3,39.84
2,16.96,1,52,0,0.5,7,5.54,0.3,65.34
1,18.75,1,52,0,0.5,11.67,5.54,0.3,70.01
1,18.93,1,52,0,0.5,11.67,5.54,0.3,70.01
